entry_time,exit_time,type,entry_price,exit_price,pnl,reason,cum_pnl
2026-04-03 15:25:00,2026-04-03 15:35:00,BULL,1280.21,1289.1057959497696,35.58318379907814,TP,15429.002805321055
2026-04-03 15:45:00,2026-04-03 16:05:00,BEAR,1290.64,1281.9503629185401,34.75854832583991,TP,15463.761353646896
2026-04-03 16:30:00,2026-04-03 16:40:00,BULL,1273.95,1282.17076585383,32.883063415320066,TP,15496.644417062216
2026-04-03 17:00:00,2026-04-03 17:20:00,BULL,1279.33,1274.7878877783894,-18.168448886442093,SL,15478.475968175775
2026-04-03 17:40:00,2026-04-03 17:55:00,BULL,1257.23,1265.9797165889831,34.99886635593248,TP,15513.474834531708
2026-04-03 18:00:00,2026-04-03 18:05:00,BULL,1269.16,1277.64234067831,33.92936271323924,TP,15547.404197244947
2026-04-03 18:10:00,2026-04-03 18:35:00,BULL,1277.65,1272.8793123871146,-19.08275045154187,SL,15528.321446793405
2026-04-03 18:50:00,2026-04-03 18:55:00,BEAR,1270.08,1261.0103366792553,36.27865328297867,TP,15564.600100076383
2026-04-03 19:00:00,2026-04-03 19:10:00,BULL,1257.07,1265.9991994959482,35.716797983793185,TP,15600.316898060177
2026-04-03 19:15:00,2026-04-03 19:25:00,BULL,1263.89,1272.7317067392853,35.3668269571408,TP,15635.683725017318
2026-04-03 20:00:00,2026-04-03 20:05:00,BEAR,1291.95,1282.7975877922986,36.60964883080578,TP,15672.293373848122
2026-04-03 20:10:00,2026-04-03 20:25:00,BEAR,1280.23,1270.7817364127473,37.79305434901107,TP,15710.086428197134
2026-04-03 20:30:00,2026-04-03 20:45:00,BULL,1266.37,1261.769482586559,-18.402069653763647,SL,15691.68435854337
2026-04-03 21:05:00,2026-04-03 21:10:00,BULL,1262.6,1257.8956840584333,-18.81726376626648,SL,15672.867094777104
2026-04-03 21:30:00,2026-04-03 22:25:00,BULL,1253.65,1262.0937726342916,33.77509053716585,TP,15706.642185314271
2026-04-03 22:30:00,2026-04-03 22:35:00,BEAR,1265.52,1257.4329811554308,32.34807537827692,TP,15738.990260692548
2026-04-03 22:40:00,2026-04-03 22:45:00,BEAR,1259.73,1251.440437832999,33.15824866800449,TP,15772.148509360552
2026-04-03 23:10:00,2026-04-03 23:50:00,BULL,1235.82,1231.185885061955,-18.536459752179326,SL,15753.612049608371
2026-04-04 00:00:00,2026-04-04 00:05:00,BULL,1230.31,1238.84217203937,34.12868815748061,TP,15787.740737765853
2026-04-04 01:15:00,2026-04-04 01:20:00,BULL,1223.39,1232.4659359445795,36.30374377831777,TP,15824.04448154417
2026-04-04 01:25:00,2026-04-04 01:40:00,BULL,1228.61,1237.4662508909894,35.425003563957944,TP,15859.469485108128
2026-04-04 02:10:00,2026-04-04 02:20:00,BULL,1244.37,1240.2703998751083,-16.398400499566378,SL,15843.07108460856
2026-04-04 02:25:00,2026-04-04 02:30:00,BULL,1239.24,1246.7041200506033,29.856480202412968,TP,15872.927564810972
2026-04-04 02:35:00,2026-04-04 03:10:00,BULL,1245.19,1252.592113717102,29.608454868407534,TP,15902.53601967938
2026-04-04 03:15:00,2026-04-04 03:25:00,BULL,1251.22,1258.4380918551665,28.872367420665796,TP,15931.408387100048
2026-04-04 03:40:00,2026-04-04 03:45:00,BEAR,1252.6,1256.974575356151,-17.498301424604506,SL,15913.910085675443
2026-04-04 03:55:00,2026-04-04 04:00:00,BEAR,1261.45,1253.1065462194124,33.37381512235061,TP,15947.283900797793
2026-04-04 04:05:00,2026-04-04 04:35:00,BEAR,1251.29,1242.5635424034729,34.90583038610839,TP,15982.189731183902
